bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
10799,2026-08-06 01:25:00,4342.6,4345.6,4340.4,4342.6,243,227,126,114,243,-12,-12,-12,-12,-1050,227,0,0,0,1.0705,0,0,50,4343.9,25,301568
10800,2026-08-06 01:26:00,4342.9,4345.3,4342.9,4345.1,141,138,64,72,141,8,8,8,8,-1042,138,0,0,0,1.0217,0,0,25,4344.5,13,301568
10801,2026-08-06 01:27:00,4344.9,4345.8,4340.0,4340.3,150,142,82,68,150,-14,-14,-14,-14,-1056,142,0,0,0,1.0563,0,0,37,4342.8,13,301568
10802,2026-08-06 01:28:00,4340.8,4340.8,4334.8,4335.4,302,257,188,95,302,-93,-93,-93,-93,-1149,257,0,0,0,1.1751,0,0,55,4335.7,35,301568
10803,2026-08-06 01:29:00,4335.5,4337.0,4333.2,4335.8,195,187,93,98,195,5,5,5,5,-1144,187,0,0,0,1.0428,0,0,36,4334.0,18,301568
10804,2026-08-06 01:30:00,4335.5,4344.0,4335.3,4344.0,236,234,64,170,236,106,106,106,106,-1038,234,0,0,0,1.0085,0,0,69,4342.8,13,301568
10805,2026-08-06 01:31:00,4343.3,4346.2,4341.8,4346.0,167,154,67,95,167,28,28,28,28,-1010,154,0,0,0,1.0844,0,0,40,4342.0,12,301568
10806,2026-08-06 01:32:00,4345.9,4345.9,4342.0,4343.8,197,186,114,80,197,-34,-34,-34,-34,-1044,186,0,0,0,1.0591,0,0,39,4343.7,16,301568
10807,2026-08-06 01:33:00,4343.3,4344.4,4342.5,4343.1,91,90,38,46,91,8,8,8,8,-1036,90,0,0,0,1.0111,0,0,19,4343.6,13,301568
10808,2026-08-06 01:34:00,4342.7,4344.4,4340.7,4343.4,170,166,81,86,170,5,5,5,5,-1031,166,0,0,0,1.0241,0,0,36,4342.5,11,301568
