bar_idx,datetime,price,bid_vol,ask_vol,volume,delta,trades,buy_trades,sell_trades,max_one_trade
14392,2026-07-29 09:54:00,4094.6,0,1,1,1,1,0,0,0
14392,2026-07-29 09:54:00,4094.7,1,2,3,1,3,0,0,0
14392,2026-07-29 09:54:00,4094.8,1,3,4,2,4,0,0,0
14392,2026-07-29 09:54:00,4094.9,0,1,1,1,1,0,0,0
14392,2026-07-29 09:54:00,4095.0,0,1,1,1,1,0,0,0
14393,2026-07-29 09:55:00,4092.9,1,0,4,-1,2,0,0,0
14393,2026-07-29 09:55:00,4093.0,0,1,1,1,1,0,0,0
14393,2026-07-29 09:55:00,4093.1,2,1,3,-1,3,0,0,0
14393,2026-07-29 09:55:00,4093.2,2,0,2,-2,2,0,0,0
14393,2026-07-29 09:55:00,4093.4,1,0,1,-1,1,0,0,0
14393,2026-07-29 09:55:00,4093.5,1,1,2,0,2,0,0,0
14393,2026-07-29 09:55:00,4093.6,0,0,2,0,2,0,0,0
14393,2026-07-29 09:55:00,4093.7,0,1,4,1,4,0,0,0
14393,2026-07-29 09:55:00,4093.8,1,0,2,-1,2,0,0,0
14393,2026-07-29 09:55:00,4093.9,0,0,1,0,1,0,0,0
14393,2026-07-29 09:55:00,4094.0,4,0,4,-4,3,0,0,0
14393,2026-07-29 09:55:00,4094.1,1,0,1,-1,1,0,0,0
14393,2026-07-29 09:55:00,4094.2,1,0,1,-1,1,0,0,0
14394,2026-07-29 09:56:00,4092.9,3,0,3,-3,3,0,0,0
14394,2026-07-29 09:56:00,4093.0,1,0,1,-1,1,0,0,0
14394,2026-07-29 09:56:00,4093.1,0,1,1,1,1,0,0,0
14394,2026-07-29 09:56:00,4093.2,1,0,1,-1,1,0,0,0
14394,2026-07-29 09:56:00,4093.4,0,0,1,0,1,0,0,0
14395,2026-07-29 09:57:00,4091.3,1,0,1,-1,1,0,0,0
14395,2026-07-29 09:57:00,4091.4,2,0,2,-2,1,0,0,0
14395,2026-07-29 09:57:00,4091.5,1,1,2,0,2,0,0,0
14395,2026-07-29 09:57:00,4091.6,2,2,4,0,4,0,0,0
14395,2026-07-29 09:57:00,4091.7,2,3,5,1,5,0,0,0
14395,2026-07-29 09:57:00,4091.8,0,2,2,2,2,0,0,0
14395,2026-07-29 09:57:00,4091.9,3,1,4,-2,4,0,0,0
14395,2026-07-29 09:57:00,4092.0,2,0,2,-2,2,0,0,0
14395,2026-07-29 09:57:00,4092.1,2,0,2,-2,2,0,0,0
14395,2026-07-29 09:57:00,4092.2,2,0,2,-2,2,0,0,0
14395,2026-07-29 09:57:00,4092.4,5,0,5,-5,2,0,0,0
14395,2026-07-29 09:57:00,4092.5,1,0,1,-1,1,0,0,0
14395,2026-07-29 09:57:00,4092.9,0,1,1,1,1,0,0,0
14396,2026-07-29 09:58:00,4092.1,1,0,1,-1,1,0,0,0
14396,2026-07-29 09:58:00,4092.2,0,1,1,1,1,0,0,0
14396,2026-07-29 09:58:00,4092.4,0,1,1,1,1,0,0,0
14397,2026-07-29 09:59:00,4091.2,2,0,2,-2,2,0,0,0
14397,2026-07-29 09:59:00,4091.3,1,1,3,0,3,0,0,0
14397,2026-07-29 09:59:00,4091.4,3,1,4,-2,4,0,0,0
14397,2026-07-29 09:59:00,4091.5,0,1,1,1,1,0,0,0
14397,2026-07-29 09:59:00,4091.7,1,1,2,0,2,0,0,0
14397,2026-07-29 09:59:00,4091.8,1,4,5,3,5,0,0,0
14397,2026-07-29 09:59:00,4091.9,2,1,3,-1,3,0,0,0
14397,2026-07-29 09:59:00,4092.0,3,1,4,-2,4,0,0,0
14397,2026-07-29 09:59:00,4092.1,4,1,5,-3,5,0,0,0
14397,2026-07-29 09:59:00,4092.3,0,3,3,3,3,0,0,0
14397,2026-07-29 09:59:00,4092.4,0,4,4,4,4,0,0,0
14397,2026-07-29 09:59:00,4092.5,0,7,7,7,7,0,0,0
14398,2026-07-29 10:00:00,4091.3,0,1,1,1,1,0,0,0
14398,2026-07-29 10:00:00,4091.4,0,2,2,2,2,0,0,0
14398,2026-07-29 10:00:00,4091.5,1,3,4,2,4,0,0,0
14398,2026-07-29 10:00:00,4091.6,0,4,4,4,4,0,0,0
14398,2026-07-29 10:00:00,4091.7,7,6,13,-1,12,0,0,0
14398,2026-07-29 10:00:00,4091.8,2,0,2,-2,2,0,0,0
14398,2026-07-29 10:00:00,4091.9,0,1,1,1,1,0,0,0
14398,2026-07-29 10:00:00,4092.0,1,1,3,0,3,0,0,0
14398,2026-07-29 10:00:00,4092.1,0,3,3,3,3,0,0,0
14398,2026-07-29 10:00:00,4092.2,0,3,3,3,3,0,0,0
14398,2026-07-29 10:00:00,4092.3,3,4,7,1,7,0,0,0
14398,2026-07-29 10:00:00,4092.4,0,1,1,1,1,0,0,0
14398,2026-07-29 10:00:00,4092.5,0,0,1,0,1,0,0,0
14398,2026-07-29 10:00:00,4092.6,1,3,4,2,4,0,0,0
14398,2026-07-29 10:00:00,4092.7,0,0,1,0,1,0,0,0
14398,2026-07-29 10:00:00,4092.8,0,1,1,1,1,0,0,0
14399,2026-07-29 10:01:00,4091.8,1,0,1,-1,1,0,0,0
14399,2026-07-29 10:01:00,4092.0,0,1,1,1,1,0,0,0
14399,2026-07-29 10:01:00,4092.1,1,0,1,-1,1,0,0,0
14399,2026-07-29 10:01:00,4092.2,0,0,1,0,1,0,0,0
14399,2026-07-29 10:01:00,4092.3,1,0,2,-1,2,0,0,0
14399,2026-07-29 10:01:00,4092.4,0,0,1,0,1,0,0,0
14399,2026-07-29 10:01:00,4092.5,2,0,2,-2,2,0,0,0
14399,2026-07-29 10:01:00,4092.6,2,1,3,-1,3,0,0,0
14399,2026-07-29 10:01:00,4092.7,1,0,1,-1,1,0,0,0
14399,2026-07-29 10:01:00,4092.9,0,3,3,3,3,0,0,0
14399,2026-07-29 10:01:00,4093.0,0,1,1,1,1,0,0,0
14400,2026-07-29 10:02:00,4092.1,2,0,2,-2,2,0,0,0
14400,2026-07-29 10:02:00,4092.2,3,0,3,-3,3,0,0,0
14400,2026-07-29 10:02:00,4092.3,1,1,2,0,2,0,0,0
14400,2026-07-29 10:02:00,4092.4,1,0,1,-1,1,0,0,0
14400,2026-07-29 10:02:00,4092.5,2,0,2,-2,2,0,0,0
14400,2026-07-29 10:02:00,4092.6,1,0,1,-1,1,0,0,0
14400,2026-07-29 10:02:00,4092.9,0,1,1,1,1,0,0,0
14401,2026-07-29 10:03:00,4091.8,2,0,2,-2,2,0,0,0
14401,2026-07-29 10:03:00,4091.9,4,0,4,-4,4,0,0,0
14401,2026-07-29 10:03:00,4092.0,2,0,2,-2,2,0,0,0
14401,2026-07-29 10:03:00,4092.4,2,0,2,-2,2,0,0,0
14401,2026-07-29 10:03:00,4092.5,0,1,2,1,2,0,0,0
14401,2026-07-29 10:03:00,4092.6,1,0,1,-1,1,0,0,0
14401,2026-07-29 10:03:00,4092.8,0,1,1,1,1,0,0,0
14401,2026-07-29 10:03:00,4093.0,0,2,2,2,2,0,0,0
14402,2026-07-29 10:04:00,4091.2,0,0,2,0,2,0,0,0
14402,2026-07-29 10:04:00,4091.5,1,0,1,-1,1,0,0,0
14402,2026-07-29 10:04:00,4091.6,1,1,4,0,4,0,0,0
14402,2026-07-29 10:04:00,4091.7,1,1,2,0,2,0,0,0
14402,2026-07-29 10:04:00,4091.8,0,3,3,3,3,0,0,0
14402,2026-07-29 10:04:00,4091.9,1,2,3,1,3,0,0,0
14402,2026-07-29 10:04:00,4092.0,0,1,1,1,1,0,0,0
14402,2026-07-29 10:04:00,4092.1,0,1,1,1,1,0,0,0
14402,2026-07-29 10:04:00,4092.2,0,2,2,2,2,0,0,0
14403,2026-07-29 10:05:00,4090.9,2,0,2,-2,2,0,0,0
14403,2026-07-29 10:05:00,4091.0,6,1,7,-5,6,0,0,0
14403,2026-07-29 10:05:00,4091.1,1,2,3,1,3,0,0,0
14403,2026-07-29 10:05:00,4091.2,3,1,4,-2,4,0,0,0
14403,2026-07-29 10:05:00,4091.3,3,0,4,-3,4,0,0,0
14403,2026-07-29 10:05:00,4091.4,2,0,2,-2,2,0,0,0
14403,2026-07-29 10:05:00,4091.5,5,2,7,-3,7,0,0,0
14403,2026-07-29 10:05:00,4091.6,2,1,3,-1,3,0,0,0
14403,2026-07-29 10:05:00,4091.7,1,3,4,2,4,0,0,0
14403,2026-07-29 10:05:00,4091.8,1,2,4,1,4,0,0,0
14403,2026-07-29 10:05:00,4091.9,1,2,3,1,3,0,0,0
14403,2026-07-29 10:05:00,4092.0,1,0,1,-1,1,0,0,0
14403,2026-07-29 10:05:00,4092.1,2,1,4,-1,4,0,0,0
14403,2026-07-29 10:05:00,4092.2,1,1,2,0,2,0,0,0
14403,2026-07-29 10:05:00,4092.3,1,11,12,10,5,0,0,0
14403,2026-07-29 10:05:00,4092.4,4,2,7,-2,5,0,0,0
14403,2026-07-29 10:05:00,4092.5,2,3,5,1,3,0,0,0
14403,2026-07-29 10:05:00,4092.7,1,0,2,-1,2,0,0,0
14403,2026-07-29 10:05:00,4093.1,0,1,1,1,1,0,0,0
14404,2026-07-29 10:06:00,4090.2,1,0,1,-1,1,0,0,0
14404,2026-07-29 10:06:00,4090.3,1,0,1,-1,1,0,0,0
14404,2026-07-29 10:06:00,4090.7,2,0,2,-2,2,0,0,0
14404,2026-07-29 10:06:00,4090.9,1,0,1,-1,1,0,0,0
14404,2026-07-29 10:06:00,4091.0,2,2,4,0,4,0,0,0
