bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
403,2026-07-13 19:00:00,4064.2,4068.6,4062.3,4063.9,52,39,12,32,52,20,20,20,20,-10,39,0,0,0,1.3333,0,0,22,4063.0,6,84445
404,2026-07-13 19:30:00,4065.2,4067.7,4058.4,4067.2,95,81,36,25,95,-11,-11,-11,-11,-21,81,0,0,0,1.1728,0,0,51,4060.7,12,84445
405,2026-07-13 20:00:00,4068.5,4071.3,4060.7,4064.4,27,26,8,5,27,-3,-3,-3,-3,-24,26,0,0,0,1.0385,0,0,24,4062.5,2,84445
406,2026-07-13 20:30:00,4064.4,4065.8,4062.3,4065.8,18,16,6,3,18,-3,-3,-3,-3,-27,16,0,0,0,1.125,0,0,13,4063.6,3,84445
407,2026-07-13 22:00:00,4065.8,4070.5,4065.8,4070.5,5,5,1,2,5,1,1,1,1,-26,5,0,0,0,1,0,0,4,4070.5,2,84445
408,2026-07-13 22:30:00,4068.4,4068.4,4066.0,4066.0,5,4,4,0,5,-4,-4,-4,-4,-30,4,0,0,0,1.25,0,0,3,4066.8,3,84445
409,2026-07-13 23:00:00,4066.9,4066.9,4062.5,4062.5,10,10,1,1,10,0,0,0,0,-30,10,0,0,0,1,0,0,9,4062.7,2,84445
410,2026-07-13 23:30:00,4061.3,4065.0,4057.7,4065.0,8,8,0,3,8,3,3,3,3,-27,8,0,0,0,1,0,0,7,4061.3,2,84445
411,2026-07-14 00:00:00,4067.0,4070.0,4049.2,4061.7,32,31,6,5,32,-1,-1,-1,-1,-28,31,0,0,0,1.0323,0,0,27,4050.0,3,94970
412,2026-07-14 00:30:00,4062.3,4072.0,4062.1,4069.4,47,35,2,26,47,24,24,24,24,-4,35,0,0,0,1.3429,0,0,31,4064.0,6,94970
413,2026-07-14 01:00:00,4066.4,4069.0,4058.5,4063.6,54,48,10,11,54,1,1,1,1,-3,48,0,0,0,1.125,0,0,33,4065.7,5,94970
414,2026-07-14 01:30:00,4066.7,4077.4,4059.3,4077.4,32,27,8,8,32,0,0,0,0,-3,27,0,0,0,1.1852,0,0,24,4077.4,4,94970
415,2026-07-14 02:00:00,4074.2,4083.8,4071.8,4082.4,51,43,17,11,51,-6,-6,-6,-6,-9,43,0,0,0,1.186,0,0,29,4083.1,13,94970
416,2026-07-14 02:30:00,4080.9,4081.5,4074.9,4076.1,7,7,2,1,7,-1,-1,-1,-1,-10,7,0,0,0,1,0,0,7,4074.9,1,94970
417,2026-07-14 03:00:00,4080.0,4081.1,4076.7,4076.7,21,16,12,6,21,-6,-6,-6,-6,-16,16,0,0,0,1.3125,0,0,14,4077.1,3,94970
418,2026-07-14 03:30:00,4083.9,4083.9,4080.0,4080.0,48,32,31,8,48,-23,-23,-23,-23,-39,32,0,0,0,1.5,0,0,18,4081.4,10,94970
419,2026-07-14 04:00:00,4083.1,4083.1,4078.6,4081.5,13,13,2,7,13,5,5,5,5,-34,13,0,0,0,1,0,0,10,4081.5,3,94970
420,2026-07-14 04:30:00,4082.4,4087.5,4081.9,4085.7,21,19,7,3,21,-4,-4,-4,-4,-38,19,0,0,0,1.1053,0,0,18,4083.0,3,94970
421,2026-07-14 05:00:00,4087.6,4088.8,4085.8,4088.2,13,13,6,1,13,-5,-5,-5,-5,-43,13,0,0,0,1,0,0,11,4086.5,2,94970
422,2026-07-14 05:30:00,4088.2,4098.9,4088.2,4096.6,28,28,6,14,28,8,8,8,8,-35,28,0,0,0,1,0,0,26,4090.5,2,94970
423,2026-07-14 06:00:00,4095.5,4097.2,4088.4,4088.8,34,32,19,6,34,-13,-13,-13,-13,-48,32,0,0,0,1.0625,0,0,24,4089.5,2,94970
424,2026-07-14 06:30:00,4089.5,4092.1,4088.4,4088.6,40,35,16,11,40,-5,-5,-5,-5,-53,35,0,0,0,1.1429,0,0,21,4090.0,5,94970
425,2026-07-14 07:00:00,4086.5,4094.8,4085.9,4093.3,35,32,9,5,35,-4,-4,-4,-4,-57,32,0,0,0,1.0938,0,0,26,4092.8,4,94970
426,2026-07-14 07:30:00,4091.5,4091.5,4087.6,4087.6,14,8,4,1,14,-3,-3,-3,-3,-60,8,0,0,0,1.75,0,0,8,4089.0,5,94970
427,2026-07-14 08:00:00,4086.0,4087.9,4079.5,4087.7,62,59,12,12,62,0,0,0,0,-60,59,0,0,0,1.0508,0,0,43,4084.8,3,94970
428,2026-07-14 08:30:00,4087.9,4089.4,4081.5,4081.5,61,51,25,3,61,-22,-22,-22,-22,-82,51,0,0,0,1.1961,0,0,32,4084.8,8,94970
